ENG,PL
apple,jabłko
apricot,morela
avocado (pear),awokado
banana,banan
berry,"owoc jagodowy, jagoda:"
blackberry,jeżyna
blueberry/bilberry,czarna jagoda
cranberry/moss-berry,żurawina błotna
gooseberry,agrest
huckleberry,borówka amerykańska
mulberry,morwa
raspberry,malina
(wild) strawberry,poziomka
cherimoya,owoc flaszowca łuskowatego
(sour) cherry,wiśnia
(sweet) cherry,czereśnia
date,daktyl
fig,figa
Indian fig,owoc opuncji figowej
grape,winogrono
grapefruit,grejpfrut
guava,gwajawa
Japanese persimmon,"persymon, kaki kiwi (fruit)"
kumquat,kumkwat
lemon,cytryna
lime,limona
lychee,liczi
mandarin (AmE tangerine),mandarynka mango
medlar,nieszpułka
(musk) melon,melon
nectarine,nektarynka
nut,orzech
almond,migdał
Brazil nut,orzech brazylijski
cashew,orzech indyjski
chestnut,kasztan jadalny
coconut,orzech kokosowy
hazelnut,orzech laskowy
peanut,"orzech ziemny,fistaszek"
pecan nut,orzech pekanu
pine nut,"piniola, nasienie pinii"
pistachio nut,orzech pistacjowy
walnut,orzech włoski
olive,oliwka
orange,pomarańcza
papaya,papaja
peach,brzoskwinia
pear,gruszka
pineapple,ananas
plum,śliwka
pomegranate,granat
quince,pigwa
rhubarb,rabarbar
water melon,arbuz
banana fritters,banan w cieście
pineapple fritters,ananas w cieście